id,parent_id,tipo,sku,nombre,old_stock,new_stock,new_status,motivo
19365,19364,variation,810121055311,EVP- AQ PREMIUN LIQUID MUSCLE VOLUMIZER VICTIORY PUNCH,0,0,outofstock,inventario
19357,19354,variation,810121051290,CARNIGEN PREMIUN LIQUID RAINBON CANDY-EVOGEN,28,28,instock,inventario
19356,19354,variation,810121051306,CARNIGEN REMIUN LIQUID SOUR GUMMIES-EVOGEN,36,36,instock,inventario
19355,19354,variation,810121055908,CARNIGEN PREMIUN LIQUID VICTORY PUNCH-EVOGEN,19,19,instock,inventario
19346,19342,variation,810121054390,EVP XTREME BLUE RASPBERRY EVOGEN,1,1,outofstock,inventario
19345,19342,variation,810121055274,EVP XTREME VICTORY PUNCH EVOGEN,3,3,outofstock,inventario
19318,19304,variation,817189024600,EVP-3D TROPIC THUNDER-EVOGEN,7,7,instock,inventario
19317,19304,variation,817189027762,EVP 3D SOUR CANDY- EVOGEN,11,11,instock,inventario
19316,19304,variation,817189025386,EVP 3D SOUR WATERMELON- EVOGEN,6,6,outofstock,inventario
19315,19304,variation,817189028257,EVP 3D BLUEBERRY APPLE-EVOGEN,9,9,instock,inventario
19314,19304,variation,810121050798,EVP 3D ICED MOCHA COFFE-EVOGEN,8,8,instock,inventario
19313,19304,variation,817189029100,EVP 3D SMASHIN PASSION ORANGE-EVOGEN,9,9,instock,inventario
19312,19304,variation,817189024617,EVP 3D PEACH RINGS-EVOGEN,6,6,outofstock,inventario
19311,19304,variation,810121053560,EVP 3D STRAWBERRY LEMONADE-EVOGEN,8,8,instock,inventario
19310,19304,variation,810121053997,EVP 3D VICTORY PUNCH- EVOGEN,5,5,outofstock,inventario
19309,19304,variation,810121053980,EVP 3D POLAR CHRRY FROST- EVOGEN,10,10,instock,inventario
19308,19304,variation,810121057971,EVP 3D CITRUS CANDY- EVOGEN,10,10,instock,inventario
19307,19304,variation,810121058701,EVP 3D PATRIOT POP- EVOGEN,10,10,instock,inventario
19306,19304,variation,810121058954,EVP 3D BLACK LEMONADE-EVOGEN,9,9,instock,inventario
19305,19304,variation,8101210579694,EVP 3D JUCY GRAPPE EVOGEN,8,8,instock,inventario
19294,19289,variation,817189020206,GLYCOJECT DE 2LB WILD BERRY EVOGEN,8,8,instock,inventario
19293,19289,variation,810121053232,GLYCOJECT DE 2LB STRAWBERRY LEMONADE EVOGEN,7,7,instock,inventario
19292,19289,variation,817189020190,GLYCOJET UN FLAVORED,9,9,instock,inventario
19291,19289,variation,817189020176,GLYCOJET WATERMELON,8,8,instock,inventario
19290,19289,variation,7503029523006,GLYCOJET CHERRY- EVOGEN,11,11,instock,inventario
19281,19277,variation,810121055298,HIDRATACION LEMON LIME,17,17,instock,inventario
