sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,cambiara
748927025255,AMINO ENERGY ORANGE 270 G,variation,23,instock,23,instock,0,no
842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,variation,62,instock,62,instock,0,no
810121056462,ISOJECT COOKIES AND CREAM 1.82 ISOJET EVOGEN,variation,0,outofstock,0,outofstock,0,no
745560722183,L CARNITINA 3500 FRUIT PONCHS IMPULSE,variation,4,instock,4,outofstock,0,SI
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,variation,689,instock,689,instock,0,no
608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,variation,262,instock,250,instock,-12,SI
666222007984,ACTIVE TIME RELEASED SPORT (MHP),simple,11,instock,11,instock,0,no
810014679488,RESVERATROL 700 MG 120 CAPSULA,simple,17,instock,17,instock,0,no
850030689252,LIVER HEALTHY REVIVE,simple,23,instock,23,instock,0,no
713101732038,PROLIVE BIO6 COFFEE LOVERS DE 6 LB IMPULSE,variation,55,instock,55,instock,0,no
810121054857,AMINO K.E.M VICTORY PUNCHS- EVOGEN,variation,3,instock,3,outofstock,0,SI
612590416057,CLA -2000 120 CAPSULAS- LANDERFIT,simple,22,instock,24,instock,2,SI
853237000837,ISOFIT 30 SERVING STRAWERRY NUTREX,variation,14,instock,14,instock,0,no
181030000168,XTEND ORIGINAL 90 SERV. BLUE RASBERRY ICE,variation,8,instock,8,instock,0,no
810121056684,ISOJECT VAINILLA COLD BREW COOFFE 1.76 LBSEVOGEN,variation,3,instock,1,outofstock,-2,SI
842595121766,C4 PERFORMANCE COSMIC RAINBOW,variation,78,instock,78,instock,0,no
713101732076,PROTEINA VEGANA DE 4 LBS PANCAKE IMPULSE,simple,11,instock,11,instock,0,no
748927051698,AMINO ENERGY STRAWBERRY LIMON 270 G,variation,32,instock,32,instock,0,no
817189028530,EVP XTREMEN.O. SOUR CANDY-EVOGEN,variation,2,instock,2,outofstock,0,SI
810121057971,EVP 3D CITRUS CANDY- EVOGEN,variation,10,instock,6,outofstock,-4,SI
713101732137,ULTRA VEGANA STRAWERRY ICE CREAM 3 LBS IMPULSE,variation,14,instock,14,instock,0,no
748927063646,AMINO ENERGY WILD BERRY 270 G,variation,1,instock,1,outofstock,0,SI
810139572350,VITAMINA B COMPLEX 120 CAPSULAS,simple,9,instock,9,instock,0,no
860007448911,RAW-SLEEP-STRAWBERRY-KIWI (SOPORTE PARA UN MEJOR SUEÑO REPARADOR),variation,15,instock,15,instock,0,no
810121053980,EVP 3D POLAR CHRRY FROST- EVOGEN,variation,10,instock,10,instock,0,no
703556204815,PROLIVE BIO5 BUTTER BLASTER DE 5 LBS IMPULSE,variation,122,instock,122,instock,0,no
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,variation,14,instock,14,instock,0,no
860008412199,BROWNIE LEMON ZEST,variation,88,instock,88,instock,0,no
850060362675,WHEY 100% COOKIES AND CREAN 2LBS NUTREX,variation,27,instock,25,instock,-2,SI
811213027513,BPI MICRONIZED CREATINA 600G UNFLAVORED,simple,111,instock,109,instock,-2,SI
810014679570,YOHIMBINE120 CAPSULAS,simple,82,instock,82,instock,0,no
810121058978,AMINO K.E.M BLACK BERRY LEMONADE- EVOGEN,variation,7,instock,6,outofstock,-1,SI
748927051704,AMINO ENERGY GREEN APPLE 270 G,variation,28,instock,30,instock,2,SI
817189024587,EVPXTREME SOUR WATERMELON,variation,5,instock,3,outofstock,-2,SI
748927026658,AMINO ENERGY CONCOR GRAPE 270 G,variation,15,instock,15,instock,0,no
860008634443,PROTEIN COOKIE CHOCOLATE CHIP,variation,42,instock,42,instock,0,no
748927069068,AMINO ENERGY TROPICAL SUNRISE 270 G,variation,2,instock,2,outofstock,0,SI
810121054000,EVP EXTREME N.O. VICTORY PUNCH-EVOGEN,variation,3,instock,3,outofstock,0,SI
612590415852,GLUCOSAMINA 120 CAPSULAS- LANDERFIT,simple,39,instock,39,instock,0,no
748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,variation,492,instock,492,instock,0,no
612590416644,"VEGAN-PROTEIN VAINILLA 2,04 LBS LANDERFIT",simple,52,instock,52,instock,0,no
891597002542,PROTEINA 4 LBS CHOCOLATE CARNIVOR (MUSCLE MEDS),simple,60,instock,60,instock,0,no
860007448928,RAW-SLEEP-MIXED BERRY (SOPORTE PARA UN MEJOR SUEÑO REPARADOR),variation,19,instock,19,instock,0,no
850049150392,CBUM ITOLATE PROTEIN 2 LBS STRAWERRY BUN CAKE,variation,4,instock,4,outofstock,0,SI
705016353415,ISO 100 FRUTY PEBBLES 3 LBS DYMATIZE,variation,15,instock,15,instock,0,no
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,simple,1969,instock,1969,instock,0,no
