id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,aplicado
19828,19826,variation,748927060140,GOLD STANDAR WHEY DOBLE RICH 1.47 LBS 22 SERVING,5,5,outofstock,instock,True,si
18194,18186,variation,608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,263,262,instock,instock,True,si
19792,19790,variation,853237000769,ISOFIT COOKIES AND CREAM 70SRV 5 LBS NUTREX,3,3,outofstock,instock,True,si
18893,18887,variation,608631655424,CREATINA STIM PRO52 SERV. FRUIT PUNCH IMPULSE,56,56,instock,instock,True,no_omitido
19409,19402,variation,810121053812,EVP XTREME N.O. POLAR CHERRY FROST-EVOGEN,8,8,instock,instock,True,no_omitido
19837,19835,variation,748927028669,GOLD STANDARD WEY DOUBLE RICH CHOCOLATE 5 LBS,404,404,instock,instock,True,no_omitido
14439,0,simple,799142775340,SAW PALMETO 500 MG 100 CAPSULAS-LANDERFIT,21,21,instock,instock,True,no_omitido
18961,18960,variation,631656259957,MAS TECH EXTREME 2000- VAINILLA MILK SHAKE 12 LIBRAS,2,2,outofstock,instock,True,si
19263,19253,variation,810121058978,AMINO K.E.M BLACK BERRY LEMONADE- EVOGEN,7,7,instock,instock,True,no_omitido
19802,19800,variation,850026029055,WHEY 100% VAINILLA 2 LBS NUTREX,30,28,instock,instock,True,si
19752,19744,variation,810121052105,ISOJECT FRUITYCREREAL 1.83 LBS ISOJET EVOGEN,9,9,instock,instock,True,no_omitido
19245,19242,variation,817189022743,EVOFUSION CHOCOLATE SHAKE 4.6 LBS EVOGEN,5,4,outofstock,instock,True,si
18934,18932,variation,7503013595776,WHEY PROTEIN 5 LBS DUTCH CHOCOLATE,14,14,instock,instock,True,no_omitido
19345,19342,variation,810121055274,EVP XTREME VICTORY PUNCH EVOGEN,3,3,outofstock,instock,True,si
13368,0,simple,810014671666,ALPHA LIPOIC ACID 600 MG 120 CAPSULAS,12,12,instock,instock,True,no_omitido
19758,19744,variation,810121056707,ISOJECT OATMEAL COOKIE 1.76 LBS ISOJET EVOGEN,3,3,outofstock,instock,True,si
